ZTime,Time,OAT,DT,SLP,WD,WS,SKY,PPT,PPT6,Plsr.Event,Plsr.Source
20160112050000,20160112000000,-61,-111,10152,160,41,-9999,0,-9999,,
20160112060000,20160112010000,-50,-111,10140,180,46,-9999,0,-9999,,
20160112070000,20160112020000,-39,-111,10126,170,46,-9999,0,-9999,,
20160112080000,20160112030000,-28,-100,10119,200,62,-9999,0,-9999,,
20160112090000,20160112040000,-33,-61,10111,180,46,-9999,-1,-9999,,
20160112100000,20160112050000,-28,-56,-9999,190,57,-9999,-1,-9999,,
20160112110000,20160112060000,-28,-50,10096,190,51,-9999,-1,-9999,,
20160112120000,20160112070000,-28,-44,-9999,180,51,-9999,-1,-1,,
20160112130000,20160112080000,-22,-44,-9999,180,67,-9999,-1,-9999,,
20160112140000,20160112090000,-17,-39,-9999,180,51,-9999,-1,-9999,SNOW,1 PUBLIC
20160112150000,20160112100000,-17,-39,10073,190,62,-9999,-1,-9999,,
20160112160000,20160112110000,-11,-33,10068,200,77,-9999,-1,-9999,,
20160112170000,20160112120000,-6,-33,-9999,210,67,-9999,-1,-9999,SNOW,1 COCORAHS
20160112180000,20160112130000,0,-33,10043,220,77,-9999,-1,3,SNOW,"1 TRAINED SPOTTER, 1 PUBLIC"
20160112190000,20160112140000,-28,-44,10046,300,41,-9999,8,-9999,,
20160112200000,20160112150000,-17,-56,-9999,260,62,-9999,3,-9999,SNOW,"1 TRAINED SPOTTER, 1 PUBLIC"
20160112210000,20160112160000,-39,-72,10075,290,62,-9999,-1,-9999,SNOW,1 TRAINED SPOTTER
20160112220000,20160112170000,-50,-106,10095,300,82,-9999,-1,-9999,SNOW,1 PUBLIC
20160112230000,20160112180000,-67,-128,10120,300,46,-9999,0,-9999,,
20160113000000,20160112190000,-78,-156,10143,290,77,-9999,0,10,,
20160113010000,20160112200000,-83,-150,10159,270,57,-9999,0,-9999,,
20160113020000,20160112210000,-89,-133,10168,250,82,-9999,-1,-9999,SNOW,1 BROADCAST MEDIA
20160113030000,20160112220000,-94,-144,10177,260,67,-9999,-1,-9999,,
20160113040000,20160112230000,-94,-144,10183,260,57,-9999,0,-9999,,
