ZTime,Time,OAT,DT,SLP,WD,WS,SKY,PPT,PPT6,Plsr.Event,Plsr.Source
20170110080000,20170110000000,122,100,10183,140,26,-9999,-1,-9999,,
20170110090000,20170110010000,122,106,10177,140,26,-9999,-1,-9999,,
20170110100000,20170110020000,122,106,10174,140,36,-9999,3,-9999,,
20170110110000,20170110030000,117,106,10172,130,31,-9999,8,-9999,,
20170110120000,20170110040000,117,106,10164,140,46,-9999,5,15,,
20170110130000,20170110050000,117,106,10159,140,31,-9999,8,-9999,,
20170110140000,20170110060000,117,106,10156,140,31,-9999,5,-9999,,
20170110150000,20170110070000,117,106,10155,140,31,-9999,-1,-9999,,
20170110160000,20170110080000,122,106,10156,140,36,-9999,5,-9999,,
20170110170000,20170110090000,122,111,10154,140,26,-9999,8,-9999,,
20170110180000,20170110100000,133,117,10153,140,31,-9999,3,28,HIGH SUST WINDS,1 MESONET
20170110190000,20170110110000,144,117,10148,170,36,-9999,-1,-9999,,
20170110200000,20170110120000,144,117,10138,150,36,-9999,3,-9999,,
20170110210000,20170110130000,144,117,10124,160,31,-9999,13,-9999,,
20170110220000,20170110140000,139,122,10113,120,51,-9999,15,-9999,FLOOD,1 TRAINED SPOTTER
20170110230000,20170110150000,139,122,10106,120,46,-9999,15,-9999,,
20170111000000,20170110160000,144,122,10096,140,36,-9999,5,51,,
20170111010000,20170110170000,144,128,10086,0,0,-9999,8,-9999,,
20170111020000,20170110180000,150,128,10076,-9999,21,-9999,8,-9999,,
20170111030000,20170110190000,156,128,10070,-9999,31,-9999,8,-9999,,
20170111040000,20170110200000,156,128,10068,-9999,21,-9999,43,-9999,FLOOD,1 LAW ENFORCEMENT
20170111050000,20170110210000,122,100,10086,0,0,-9999,10,-9999,,
20170111060000,20170110220000,128,100,10093,-9999,21,-9999,3,79,,
20170111070000,20170110230000,122,94,10095,130,21,-9999,0,-9999,,
20170111080000,20170111000000,144,89,10090,240,41,-9999,-1,-9999,,
20170111090000,20170111010000,139,78,10095,250,57,-9999,-1,-9999,,
20170111100000,20170111020000,133,78,10103,280,26,-9999,0,-9999,,
20170111110000,20170111030000,133,78,10108,260,36,-9999,-1,-9999,,
20170111120000,20170111040000,128,72,10110,240,21,-9999,-1,-1,,
20170111130000,20170111050000,106,72,10107,130,36,-9999,3,-9999,,
20170111140000,20170111060000,111,72,10110,0,0,-9999,3,-9999,,
20170111150000,20170111070000,106,83,10119,0,0,-9999,3,-9999,,
20170111160000,20170111080000,106,78,10128,280,15,-9999,-1,-9999,,
20170111170000,20170111090000,117,78,10134,230,26,-9999,0,-9999,,
20170111180000,20170111100000,122,72,10144,280,21,-9999,0,8,,
20170111190000,20170111110000,117,72,10152,270,21,-9999,-1,-9999,,
20170111200000,20170111120000,122,78,10146,300,21,-9999,-1,-9999,,
20170111210000,20170111130000,128,61,10139,280,36,-9999,0,-9999,,
20170111220000,20170111140000,128,50,10140,280,46,0,0,-9999,,
20170111230000,20170111150000,128,50,10141,250,31,2,0,-9999,,
20170112000000,20170111160000,122,56,10140,300,21,-9999,0,-1,,
20170112010000,20170111170000,117,50,10141,280,36,0,0,-9999,,
20170112020000,20170111180000,111,50,10141,290,15,0,0,-9999,,
20170112030000,20170111190000,106,56,10143,0,0,0,0,-9999,,
20170112040000,20170111200000,106,56,10140,150,15,-9999,0,-9999,,
20170112050000,20170111210000,100,50,10135,180,26,0,0,-9999,,
20170112060000,20170111220000,89,50,10136,120,15,0,0,-9999,,
20170112070000,20170111230000,94,50,10131,170,21,-9999,0,-9999,,
20170112080000,20170112000000,89,50,10126,180,15,4,0,-9999,,
20170112090000,20170112010000,94,56,10124,0,0,-9999,-1,-9999,,
20170112100000,20170112020000,89,61,10117,120,15,-9999,5,-9999,,
20170112110000,20170112030000,89,67,10114,130,41,-9999,-1,-9999,,
20170112120000,20170112040000,89,72,10111,140,26,-9999,3,8,,
20170112130000,20170112050000,89,67,10109,0,0,-9999,-1,-9999,,
20170112140000,20170112060000,83,67,10113,300,21,-9999,13,-9999,,
20170112150000,20170112070000,78,67,10121,300,21,-9999,10,-9999,,
20170112160000,20170112080000,78,67,10127,0,0,4,0,-9999,,
20170112170000,20170112090000,89,61,10135,310,26,-9999,0,-9999,,
20170112180000,20170112100000,94,56,10144,290,26,-9999,0,23,,
20170112190000,20170112110000,106,50,10147,320,36,-9999,0,-9999,,
20170112200000,20170112120000,94,56,10142,340,36,-9999,-1,-9999,,
20170112210000,20170112130000,89,50,10141,340,36,-9999,0,-9999,,
20170112220000,20170112140000,106,33,10139,330,31,2,0,-9999,,
20170112230000,20170112150000,111,39,10141,350,41,0,0,-9999,,
