ZTime,Time,OAT,DT,SLP,WD,WS,SKY,PPT,PPT6,Plsr.Event,Plsr.Source
20160215050000,20160215000000,-67,-122,10246,140,46,-9999,0,-9999,,
20160215060000,20160215010000,-61,-117,10246,130,62,-9999,0,-9999,,
20160215070000,20160215020000,-56,-122,10239,130,41,-9999,0,-9999,,
20160215080000,20160215030000,-56,-117,10229,130,41,-9999,0,-9999,,
20160215090000,20160215040000,-50,-111,10226,120,46,-9999,0,-9999,,
20160215100000,20160215050000,-56,-89,10220,130,41,-9999,-1,-9999,,
20160215110000,20160215060000,-56,-83,10214,110,31,-9999,0,-9999,,
20160215120000,20160215070000,-50,-78,10212,120,26,-9999,-1,-1,,
20160215130000,20160215080000,-44,-61,10211,120,31,-9999,-1,-9999,,
20160215140000,20160215090000,-39,-56,10211,140,26,-9999,0,-9999,,
20160215150000,20160215100000,-33,-50,10205,140,31,-9999,0,-9999,,
20160215160000,20160215110000,-22,-44,10199,140,41,-9999,0,-9999,,
20160215170000,20160215120000,-11,-39,10190,130,26,-9999,0,-9999,,
20160215180000,20160215130000,6,-33,10178,150,41,-9999,0,-1,,
20160215190000,20160215140000,11,-28,10171,150,51,-9999,0,-9999,,
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
20160215210000,20160215160000,11,-6,10156,120,26,9,0,-9999,,
20160215220000,20160215170000,11,0,10154,120,31,-9999,0,-9999,,
20160215230000,20160215180000,11,-6,10153,130,26,-9999,3,-9999,FREEZING RAIN,4 911 CALL CENTER
20160216000000,20160215190000,17,0,10145,120,31,-9999,8,8,FREEZING RAIN,5 911 CALL CENTER
20160216010000,20160215200000,17,0,10141,120,31,-9999,5,-9999,,
20160216020000,20160215210000,17,0,10132,100,26,-9999,10,-9999,FREEZING RAIN,1 911 CALL CENTER
20160216030000,20160215220000,17,0,10122,80,26,-9999,20,-9999,,
20160216040000,20160215230000,11,0,-9999,90,21,-9999,-1,-9999,,
20160216050000,20160216000000,11,0,-9999,-9999,15,9,-1,-9999,,
20160216060000,20160216010000,11,0,10083,-9999,15,9,13,79,,
20160216070000,20160216020000,11,0,10071,40,21,9,30,-9999,,
20160216080000,20160216030000,17,0,-9999,20,26,9,2,-9999,,
20160216090000,20160216040000,17,6,10029,360,21,9,51,-9999,,
20160216100000,20160216050000,11,0,10023,340,26,9,66,-9999,,
20160216110000,20160216060000,11,0,10017,350,26,9,36,-9999,FREEZING RAIN,1 TRAINED SPOTTER
20160216120000,20160216070000,11,0,10021,320,36,-9999,20,251,,
20160216130000,20160216080000,11,0,-9999,330,36,-9999,-1,-9999,FREEZING RAIN,2 TRAINED SPOTTER
20160216140000,20160216090000,11,0,10024,320,41,-9999,5,-9999,FREEZING RAIN,1 SOCIAL MEDIA
20160216150000,20160216100000,11,-6,10027,320,62,-9999,8,-9999,,
20160216160000,20160216110000,6,-6,10045,310,51,-9999,3,-9999,,
20160216170000,20160216120000,11,-6,10057,280,51,-9999,-1,-9999,,
20160216180000,20160216130000,17,-6,10056,290,57,-9999,3,38,,
20160216190000,20160216140000,22,-6,10061,290,57,-9999,0,-9999,,
20160216200000,20160216150000,22,-6,10067,290,36,-9999,0,-9999,,
20160216210000,20160216160000,22,-11,10070,280,41,-9999,0,-9999,,
20160216220000,20160216170000,17,-17,10076,280,51,-9999,0,-9999,,
20160216230000,20160216180000,11,-11,10090,270,26,-9999,-1,-9999,,
20160217000000,20160216190000,11,-11,10102,270,36,-9999,-1,-1,,
20160217010000,20160216200000,11,-22,10111,-9999,26,-9999,0,-9999,,
20160217020000,20160216210000,11,-22,10115,310,15,-9999,0,-9999,,
20160217030000,20160216220000,6,-22,10122,270,15,-9999,0,-9999,,
20160217040000,20160216230000,6,-17,10127,300,15,-9999,0,-9999,,
20160217050000,20160217000000,0,-17,-9999,330,26,-9999,0,-9999,,
20160217060000,20160217010000,0,-22,10137,310,21,-9999,0,-9999,,
20160217070000,20160217020000,-6,-22,10137,330,26,-9999,0,-9999,,
20160217080000,20160217030000,-6,-22,10138,310,21,-9999,0,-9999,,
20160217090000,20160217040000,-6,-28,10143,290,26,-9999,0,-9999,,
20160217100000,20160217050000,-6,-22,-9999,290,15,-9999,0,-9999,,
20160217110000,20160217060000,0,-28,10159,290,26,-9999,0,-9999,,
20160217120000,20160217070000,-6,-33,10169,280,36,-9999,0,-9999,,
20160217130000,20160217080000,-6,-33,10179,280,21,-9999,0,-9999,,
20160217140000,20160217090000,-6,-44,10191,270,57,-9999,0,-9999,,
20160217150000,20160217100000,0,-39,10198,270,46,-9999,0,-9999,,
20160217160000,20160217110000,0,-39,10207,260,36,-9999,0,-9999,,
